date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-08-08,238.3,239.8,232.65,234.45,5274300,47.66,47.96,46.53,46.89,26371500,0.0,1.0
2019-08-09,235.01,238.96,233.81,236.05,3898200,47.002,47.792,46.762,47.21,19491000,0.0,1.0
2019-08-12,229.01,235.77,228.75,232.99,4663900,45.802,47.154,45.75,46.598,23319500,0.0,1.0
2019-08-13,235.0,236.0,227.55,228.81,4848100,47.0,47.2,45.51,45.762,24240500,0.0,1.0
2019-08-14,219.62,231.5,216.69,231.21,9562600,43.924,46.3,43.338,46.242,47813000,0.0,1.0
2019-08-15,215.64,221.56,211.55,220.86,8159600,43.128,44.312,42.31,44.172,40798000,0.0,1.0
2019-08-16,219.94,222.24,216.02,216.66,5207376,43.988,44.448,43.204,43.332,26036880,0.0,1.0
2019-08-19,226.83,227.83,221.7,224.21,5309600,45.366,45.566,44.34,44.842,26548000,0.0,1.0
2019-08-20,225.86,229.09,224.54,227.62,4125200,45.172,45.818,44.908,45.524,20626000,0.0,1.0
2019-08-21,220.83,223.22,217.6,222.01,7794300,44.166,44.644,43.52,44.402,38971500,0.0,1.0
2019-08-22,222.15,225.4,218.22,222.8,6559000,44.43,45.08,43.644,44.56,32795000,0.0,1.0
2019-08-23,211.4,221.17,211.0,219.97,8538600,42.28,44.234,42.2,43.994,42693000,0.0,1.0
2019-08-26,215.0,215.02,211.54,213.6,5051900,43.0,43.004,42.308,42.72,25259500,0.0,1.0
2019-08-27,214.08,218.8,212.03,215.74,5416200,42.816,43.76,42.406,43.148,27081000,0.0,1.0
2019-08-28,215.59,217.25,212.31,213.69,3225500,43.118,43.45,42.462,42.738,16127500,0.0,1.0
2019-08-29,221.71,223.4,218.0,219.0,5179500,44.342,44.68,43.6,43.8,25897500,0.0,1.0
2019-08-30,225.61,232.44,224.21,229.15,9320600,45.122,46.488,44.842,45.83,46603000,0.0,1.0
2019-09-03,225.01,228.95,223.16,224.08,5354100,45.002,45.79,44.632,44.816,26770500,0.0,1.0
2019-09-04,220.68,228.46,219.21,226.89,5761000,44.136,45.692,43.842,45.378,28805000,0.0,1.0
2019-09-05,229.58,229.8,220.85,222.5,7395300,45.916,45.96,44.17,44.5,36976500,0.0,1.0
2019-09-06,227.45,229.64,225.17,227.2,4189400,45.49,45.928,45.034,45.44,20947000,0.0,1.0
2019-09-09,231.79,233.76,229.23,230.0,4802700,46.358,46.752,45.846,46.0,24013500,0.0,1.0
2019-09-10,235.54,235.54,228.94,230.8,4883700,47.108,47.108,45.788,46.16,24418500,0.0,1.0
2019-09-11,247.1,248.17,236.0,237.38,10042800,49.42,49.634,47.2,47.476,50214000,0.0,1.0
2019-09-12,245.87,253.5,244.4,247.7,8581200,49.174,50.7,48.88,49.54,42906000,0.0,1.0
2019-09-13,245.2,248.45,244.87,246.96,5313100,49.04,49.69,48.974,49.392,26565500,0.0,1.0
2019-09-16,242.81,247.43,241.17,246.0,4728100,48.562,49.486,48.234,49.2,23640500,0.0,1.0
2019-09-17,244.79,245.6,240.37,242.47,3865400,48.958,49.12,48.074,48.494,19327000,0.0,1.0
2019-09-18,243.49,248.17,242.37,245.0,4170200,48.698,49.634,48.474,49.0,20851000,0.0,1.0
2019-09-19,246.6,247.94,244.84,246.0,4795800,49.32,49.588,48.968,49.2,23979000,0.0,1.0
2019-09-20,240.62,246.95,238.16,246.49,6353000,48.124,49.39,47.632,49.298,31765000,0.0,1.0
2019-09-23,241.23,245.18,239.22,240.0,4340200,48.246,49.036,47.844,48.0,21701000,0.0,1.0
2019-09-24,223.21,241.99,222.61,241.52,12891500,44.642,48.398,44.522,48.304,64457500,0.0,1.0
2019-09-25,228.7,228.98,218.36,224.56,9427100,45.74,45.796,43.672,44.912,47135500,0.0,1.0
2019-09-26,242.56,243.31,227.4,230.66,11884500,48.512,48.662,45.48,46.132,59422500,0.0,1.0
2019-09-27,242.13,248.71,238.73,242.2,11116400,48.426,49.742,47.746,48.44,55582000,0.0,1.0
2019-09-30,240.87,243.98,236.11,243.0,5879800,48.174,48.796,47.222,48.6,29399000,0.0,1.0
2019-10-01,244.69,245.95,239.13,241.5,6162600,48.938,49.19,47.826,48.3,30813000,0.0,1.0
2019-10-02,243.13,244.65,239.43,243.29,5631400,48.626,48.93,47.886,48.658,28157000,0.0,1.0
2019-10-03,233.03,234.48,224.28,231.86,15084500,46.606,46.896,44.856,46.372,75422500,0.0,1.0
2019-10-04,231.43,234.78,228.07,231.61,7995000,46.286,46.956,45.614,46.322,39975000,0.0,1.0
2019-10-07,237.72,238.56,228.55,229.8,8064200,47.544,47.712,45.71,45.96,40321000,0.0,1.0
2019-10-08,240.05,243.94,234.5,235.87,8678200,48.01,48.788,46.9,47.174,43391000,0.0,1.0
2019-10-09,244.53,247.3,240.65,241.32,6894400,48.906,49.46,48.13,48.264,34472000,0.0,1.0
2019-10-10,244.74,249.28,241.58,245.28,6283300,48.948,49.856,48.316,49.056,31416500,0.0,1.0
2019-10-11,247.89,251.08,246.81,247.15,8475400,49.578,50.216,49.362,49.43,42377000,0.0,1.0
2019-10-14,256.96,258.55,247.13,247.9,10205000,51.392,51.71,49.426,49.58,51025000,0.0,1.0
2019-10-15,257.89,260.0,254.12,257.7,6432800,51.578,52.0,50.824,51.54,32164000,0.0,1.0
2019-10-16,259.75,262.1,256.92,257.39,6684100,51.95,52.42,51.384,51.478,33420500,0.0,1.0
2019-10-17,261.97,264.78,260.17,262.5,4769300,52.394,52.956,52.034,52.5,23846500,0.0,1.0
2019-10-18,256.95,262.8,255.1,260.7,5749800,51.39,52.56,51.02,52.14,28749000,0.0,1.0
2019-10-21,253.5,259.5,250.18,258.33,5020300,50.7,51.9,50.036,51.666,25101500,0.0,1.0
2019-10-22,255.58,258.33,250.85,254.32,4600800,51.116,51.666,50.17,50.864,23004000,0.0,1.0
2019-10-23,254.68,256.14,251.35,254.5,5261100,50.936,51.228,50.27,50.9,26305500,0.0,1.0
2019-10-24,299.68,304.93,289.2,298.37,29720900,59.936,60.986,57.84,59.674,148604500,0.0,1.0
2019-10-25,328.13,330.0,296.11,297.72,30006100,65.626,66.0,59.222,59.544,150030500,0.0,1.0
2019-10-28,327.71,340.84,322.6,327.54,18870300,65.542,68.168,64.52,65.508,94351500,0.0,1.0
2019-10-29,316.22,324.3,314.75,319.99,12684300,63.244,64.86,62.95,63.998,63421500,0.0,1.0
2019-10-30,315.01,318.79,309.97,313.0,9641800,63.002,63.758,61.994,62.6,48209000,0.0,1.0
2019-10-31,314.92,319.0,313.0,313.1,5067000,62.984,63.8,62.6,62.62,25335000,0.0,1.0
2019-11-01,313.31,316.48,309.8,316.32,6383900,62.662,63.296,61.96,63.264,31919500,0.0,1.0
2019-11-04,317.47,321.94,309.26,314.8,8787000,63.494,64.388,61.852,62.96,43935000,0.0,1.0
2019-11-05,317.22,323.51,316.12,319.62,6943400,63.444,64.702,63.224,63.924,34717000,0.0,1.0
2019-11-06,326.58,326.72,314.5,318.0,7940900,65.316,65.344,62.9,63.6,39704500,0.0,1.0
2019-11-07,335.54,341.5,328.02,329.14,14467300,67.108,68.3,65.604,65.828,72336500,0.0,1.0
2019-11-08,337.14,337.46,332.5,334.5,6069200,67.428,67.492,66.5,66.9,30346000,0.0,1.0
2019-11-11,345.09,349.19,342.0,343.95,9986700,69.018,69.838,68.4,68.79,49933500,0.0,1.0
2019-11-12,349.93,350.37,344.04,346.9,7359400,69.986,70.074,68.808,69.38,36797000,0.0,1.0
2019-11-13,346.11,356.33,345.18,355.0,8420100,69.222,71.266,69.036,71.0,42100500,0.0,1.0
2019-11-14,349.35,353.84,342.91,346.11,6464900,69.87,70.768,68.582,69.222,32324500,0.0,1.0
2019-11-15,352.17,352.8,348.36,350.64,4809000,70.434,70.56,69.672,70.128,24045000,0.0,1.0
2019-11-18,349.99,353.15,346.1,352.92,4400400,69.998,70.63,69.22,70.584,22002000,0.0,1.0
2019-11-19,359.52,359.99,347.8,351.75,7724800,71.904,71.998,69.56,70.35,38624000,0.0,1.0
2019-11-20,352.22,361.2,349.57,360.0,6725100,70.444,72.24,69.914,72.0,33625500,0.0,1.0
2019-11-21,354.83,360.84,354.0,354.51,6110000,70.966,72.168,70.8,70.902,30550000,0.0,1.0
2019-11-22,333.04,341.0,330.0,340.16,16870600,66.608,68.2,66.0,68.032,84353000,0.0,1.0
2019-11-25,336.34,344.57,334.46,344.32,12339500,67.268,68.914,66.892,68.864,61697500,0.0,1.0
2019-11-26,328.92,335.5,327.1,335.27,7947400,65.784,67.1,65.42,67.054,39737000,0.0,1.0
2019-11-27,331.29,333.93,328.57,331.12,5555600,66.258,66.786,65.714,66.224,27778000,0.0,1.0
2019-11-29,329.94,331.26,327.5,331.11,2465600,65.988,66.252,65.5,66.222,12328000,0.0,1.0
2019-12-02,334.87,336.38,328.69,329.4,6074500,66.974,67.276,65.738,65.88,30372500,0.0,1.0
2019-12-03,336.2,337.91,332.19,332.62,6573700,67.24,67.582,66.438,66.524,32868500,0.0,1.0
2019-12-04,333.03,337.86,332.85,337.75,5533000,66.606,67.572,66.57,67.55,27665000,0.0,1.0
2019-12-05,330.37,334.42,327.25,332.83,3724600,66.074,66.884,65.45,66.566,18623000,0.0,1.0
2019-12-06,335.89,338.86,334.77,335.0,7612400,67.178,67.772,66.954,67.0,38062000,0.0,1.0
2019-12-09,339.53,344.45,335.08,336.59,9023100,67.906,68.89,67.016,67.318,45115500,0.0,1.0
2019-12-10,348.84,350.73,339.31,339.96,8828300,69.768,70.146,67.862,67.992,44141500,0.0,1.0
2019-12-11,352.7,357.19,351.09,351.88,6897800,70.54,71.438,70.218,70.376,34489000,0.0,1.0
2019-12-12,359.68,362.74,353.23,354.92,7763900,71.936,72.548,70.646,70.984,38819500,0.0,1.0
2019-12-13,358.39,365.21,354.64,361.05,6570900,71.678,73.042,70.928,72.21,32854500,0.0,1.0
2019-12-16,381.5,383.61,362.5,362.55,18174200,76.3,76.722,72.5,72.51,90871000,0.0,1.0
2019-12-17,378.99,385.5,375.9,378.99,8496800,75.798,77.1,75.18,75.798,42484000,0.0,1.0
2019-12-18,393.15,395.22,380.58,380.63,14121000,78.63,79.044,76.116,76.126,70605000,0.0,1.0
2019-12-19,404.04,406.85,396.5,397.32,18107100,80.808,81.37,79.3,79.464,90535500,0.0,1.0
2019-12-20,405.59,413.0,400.19,410.29,14752700,81.118,82.6,80.038,82.058,73763500,0.0,1.0
2019-12-23,419.22,422.01,410.0,411.78,13319600,83.844,84.402,82.0,82.356,66598000,0.0,1.0
2019-12-24,425.25,425.47,412.69,418.36,8054700,85.05,85.094,82.538,83.672,40273500,0.0,1.0
2019-12-26,430.94,433.48,426.35,427.91,10633900,86.188,86.696,85.27,85.582,53169500,0.0,1.0
